focal_app_id,focal_name,rank,peer_app_id,peer_name,similarity_score,peer_visibility_percentile,peer_release_year,shared_genres,shared_categories,focal_release_year,focal_visibility_percentile,focal_peer_visibility_median_k20,focal_peer_visibility_gap_k20,focal_mean_peer_similarity_k20,focal_peer_quality_tier
1434950,HighFleet,1,2517130,Invention 4,0.6517,0.6936,2023,Action;Adventure;Indie,Family Sharing;Single-player,2021,0.9842,0.3178,0.6664,0.6237,moderate_peer_match
1434950,HighFleet,2,1450200,Space Squadron,0.6441,0.1563,2020,Action;Indie;Strategy,Family Sharing;Single-player,2021,0.9842,0.3178,0.6664,0.6237,moderate_peer_match
1434950,HighFleet,3,845650,Meteor Shower,0.635,0.4628,2018,Action;Adventure;Indie;Strategy,Family Sharing;Single-player,2021,0.9842,0.3178,0.6664,0.6237,moderate_peer_match
1434950,HighFleet,4,1716470,Survival Night,0.6342,0.2521,2021,Action;Adventure;Indie,Family Sharing;Single-player,2021,0.9842,0.3178,0.6664,0.6237,moderate_peer_match
1434950,HighFleet,5,722340,Captain vs Sky Pirates,0.6337,0.1212,2017,Action;Adventure;Indie;Strategy,Family Sharing;Single-player,2021,0.9842,0.3178,0.6664,0.6237,moderate_peer_match
980300,One Finger Death Punch 2,1,793600,Bully Beatdown,0.6354,0.6759,2018,Action;Indie,Family Sharing;Single-player;Steam Achievements;Steam Leaderboards,2019,0.9692,0.3085,0.6607,0.5916,moderate_peer_match
980300,One Finger Death Punch 2,2,605490,One Hit KO,0.6215,0.2195,2017,Action;Casual;Indie,Family Sharing;Single-player;Steam Achievements;Steam Cloud,2019,0.9692,0.3085,0.6607,0.5916,moderate_peer_match
980300,One Finger Death Punch 2,3,1121100,Color Slayer,0.616,0.2944,2019,Action;Casual;Indie,Family Sharing;Partial Controller Support;Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,2019,0.9692,0.3085,0.6607,0.5916,moderate_peer_match
980300,One Finger Death Punch 2,4,2215780,抵御者 Defender,0.6057,0.5303,2022,Action;Indie,Family Sharing;Partial Controller Support;Single-player;Steam Achievements,2019,0.9692,0.3085,0.6607,0.5916,moderate_peer_match
980300,One Finger Death Punch 2,5,1218680,Beatdown Brawler,0.602,0.5936,2020,Action;Indie,Family Sharing;Single-player;Steam Achievements;Steam Cloud,2019,0.9692,0.3085,0.6607,0.5916,moderate_peer_match
